Probeset ID	Gene Symbol	1_1	1_2	2_1	2_2	3_1	3_2	Mean(Cntl)	Mean(siETV4)	Ratio(siETV4 vs. Cntl)	Fold-Change(siETV4 vs. Cntl)	log2FoldChange	p-value	q-value
PSR13009405.hg.1	A2LD1	6.13876	6.23919	5.57091	6.20753	6.27193	6.14452	5.99387	6.19708	1.15126	1.15126	0.203213333	0.2906434	0.6321421
PSR13009407.hg.1	A2LD1	8.2133	8.05772	8.09583	8.07296	8.28137	8.14391	8.19683	8.09153	0.929608	-1.07572	-0.105303333	0.2475273	0.6099398
PSR13009408.hg.1	A2LD1	8.84418	9.05934	8.6859	8.74162	9.12054	9.05789	8.88354	8.95295	1.04928	1.04928	0.06941	0.6420453	0.7538228
PSR13009409.hg.1	A2LD1	1.48526	1.58031	2.15392	1.36928	1.44837	1.35368	1.69585	1.43442	0.834263	-1.19866	-0.261426667	0.2208285	0.5940024
PSR13009410.hg.1	A2LD1	5.49253	5.38294	5.46799	5.56991	5.49715	5.37857	5.48589	5.44381	0.971251	-1.0296	-0.042083333	0.6352908	0.7520463
PSR13009412.hg.1	A2LD1	7.21689	6.9635	7.16079	7.16575	7.3592	7.18301	7.24563	7.10409	0.906552	-1.10308	-0.14154	0.1938866	0.5764485
PSR13009413.hg.1	A2LD1	4.1472	4.76089	4.78298	4.75704	4.93867	4.64645	4.62295	4.72146	1.07067	1.07067	0.09851	0.6333591	0.7516191
PSR12015719.hg.1	A2M	4.46081	4.03292	3.98285	3.95521	4.48575	3.89101	4.30981	3.95971	0.784534	-1.27464	-0.35009	0.04661135	0.4062292
PSR12015721.hg.1	A2M	2.77919	3.33603	3.09088	2.94089	2.57856	3.18158	2.81621	3.15283	1.26279	1.26279	0.336623333	0.0709046	0.4528627
PSR12015722.hg.1	A2M	3.47963	3.73239	3.88808	4.01482	3.96552	3.51304	3.77774	3.75342	0.983279	-1.01701	-0.024326667	0.8919445	0.8048782
PSR12015725.hg.1	A2M	5.46188	5.7672	5.9992	5.73923	5.43192	5.82504	5.631	5.77716	1.10662	1.10662	0.146156667	0.3822499	0.6733145
PSR12015726.hg.1	A2M	4.75624	4.386	5.05919	4.93186	4.67234	4.5832	4.82926	4.63369	0.873229	-1.14518	-0.19557	0.2746274	0.6237547
PSR12015727.hg.1	A2M	3.51642	3.69011	3.99954	3.2673	3.77298	3.88968	3.76298	3.6157	0.90295	-1.10748	-0.147283333	0.4577204	0.7008028
PSR12015728.hg.1	A2M	5.85533	6.05565	5.6229	5.72946	5.82879	5.67167	5.76901	5.81893	1.03521	1.03521	0.04992	0.7056832	0.7692833
PSR12015729.hg.1	A2M	6.4544	6.13583	6.45921	6.49456	6.42214	6.48553	6.44525	6.37197	0.950474	-1.05211	-0.073276667	0.5395283	0.7270097
